"BookName","Edition","ISBN13","ISBN10","Author1","Description"
"Introduction to Managerial Accounting with Connect Plus","6th Edition","9780077630317","77630319","Peter Brewer, Eric Noreen, Ray Garrison","Introduction to Managerial Accounting, 6/e by Brewer/Garrison/Noreen is based on the market-leading text, Managerial Accounting, by Garrison, Noreen and Brewer. Brewer 6e is a briefer, more accessible, and thoroughly student-friendly text that satisfies the basic needs of the managerial accounting student without unnecessary depth on advanced topics associated with the follow-up course cost accounting/cost management. Faculty and students alike will find this new edition has retained the hallmark features of the Garrison brand: author-written supplements, excellent readability, terrific examples, and balanced end-of-chapter material. In addition, Connect Accounting for Brewer/Garrison/Noreen has been expanded with new learning resources for your students."
"Introduction to Managerial Accounting with Connect Plus","5th Edition","9780073527079","73527076","Eric Noreen, Ray H Garrison, Peter Brewer, Eric W. Noreen, Ray Garrison, Peter C. Brewer, Ray H  Garrison","Introduction to Managerial Accounting, 5/e by Brewer/Garrison/Noreen is based on the market-leading text, Managerial Accounting, by Garrison, Noreen and Brewer. However, this is not simply a briefer book with chapters removed; Brewer 5e has been rethought and retooled to meet the needs of the market. Brewer 5e is a more accessible, yet thoroughly student-friendly text that satisfies the basic needs of the managerial accounting student without unnecessary depth on advanced topics associated with the follow-up course: cost accounting/cost management. Faculty and students alike will find this new edition has retained the hallmark features of the Garrison brand: author-written supplements, excellent readability, terrific examples, and balanced end-of-chapter material."
"Loose Leaf Taxation of Individuals &amp; Business Entities 2012e with Connect Plus","3rd Edition","9780077867232","77867238","Brian Spilker, Connie Weaver, Benjamin Ayers, John Barrick, Edmund Outslay, Ronald Worsham, John Robinson","Part I: Intro to Taxation1. An Introduction to Tax2. Tax Compliance, the IRS, and Tax Authorities3. Tax Planning Strategies and Related LimitationsPart II: Basic Individual Taxation 4. Individual Tax Overview5. Gross Income and Exclusions6. Individual Deductions7. Individual Income Tax Computation and Tax CreditsPart III: Business and Investment?Related Transactions8. Business Income, Deductions, and Accounting Methods9. Property Acquisition and Cost Recovery10. Property Dispositions11. Investments Part IV: Specialized Topics12. Compensation13. Retirement Savings and Deferred Compensation14. Tax Consequences of Home OwnershipPart V: Entity Overview and Taxation of C Corporations15. Entities Overview16. Corporate Operations17. FASB ASC Topic 740: Income Taxes18. Corporate Taxation: Nonliquidating Distributions19. Corporate Taxation: Formation, Reorganization, and LiquidationPart VI: Taxation of Flow-Through Entities20. Forming and Operating Partnerships21. Dispositions of Partnership Interests and Partnership Distributions 22. S CorporationsPart VII: Multijurisdictional Taxation and Transfer Taxes 23. State and Local Taxes 24. The U.S. Taxation of Multinational Transactions25. Transfer Taxes and Wealth PlanningAppendix A: Tax Forms Appendix B: Tax Terms GlossaryAppendix C: Comprehensive Tax Return ProblemsAppendix D: Code Indices Appendix E: Table of Cases Cite"
"Management Accounting","6th Edition","9780137024971","137024975","S Mark Young, Ella Mae Matsumura, Anthony A Atkinson, Mark E Young, Robert S Kaplan","An approach to management accounting from the perspective of a business manager.
Management Accounting: Information for Decision-Making and Strategy Execution explains how business managers can estimate and manage the cost and profitability of their products and customers. This text also covers how managers use financial and nonfinancial information to improve processes, design and develop new products, and motivate employee performance."
"Managerial Accounting","4th Edition","9780133428513","133428516","Charles T. Horngren","ALERT:?Before you purchase, check with your instructor or review your course syllabus to ensure that you?select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition,?you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products.

?
Packages
Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase.
?
Used or rental books
If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code.
?
Access codes
Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. Check with the seller prior to purchase.

For courses in Introduction to Management Accounting
Managerial Accounting, Fourth Edition helps students make the connection between managerial accounting concepts and the businesses they deal with everyday through strong coverage and effective practice. By presenting actual accounting decisions made in companies like Target and J. Crew, the text?s precise coverage of the core concepts engages students in the learning process.
MyAccountingLab for Managerial Accounting is an online homework, tutorial, and assessment program that truly engages students in learning. It helps students better prepare for class, quizzes, and exams?resulting in better performance in the course?and provides educators with a dynamic set of tools for gauging individual and class progress.
This program provides a better teaching and learning experience?for you and your students. Here?s how:
Personalized learning with MyAccountingLab?the online homework, tutorial and assessment program that helps students succeed in the classroom and beyond. Students see the connections between accounting concepts and the businesses they interact with everyday. Students learn from the latest information on important topics in the field. Note: You are purchasing a standalone product; MyAccountingLab does not come packaged with this content. If you would like to purchase both the physical text and MyAccountingLab search for ISBN-10: 0133803805/ISBN-13: 9780133803808. That package includes ISBN-10: 0133428370/ISBN-13: 9780133428377 and ISBN-10: 0133451488/ISBN-13: 9780133451481."
"Managerial Accounting","3rd Edition","9780132890540","132890542","Karen W Braun, Wendy M Tietz","Rock-soliddecision-makingthrough strong coverage and effective practice. ""Managerial Accounting"" presents readers with the rock-solid fundamentals they need to know, followed by extensive opportunities for practice."
"Managerial Accounting","8th Edition","9780070980822","70980829","Eric Noreen, Peter C Brewer, Dick Chesley, Alan Webb, Raymond F Carroll, Ray H. Garrison","Garrison - Your guide through the challenging waters of managerial accounting.

For centuries, the lighthouse has stood as a beacon of guidance for mariners at sea. More than an aid to navigation, the lighthouse symbolizes safety, permanence, reliability, and the comforts of the familiar. For this reason, we have chosen to illustrate the Canadian eighth edition ofManagerial Accountingby Garrison, Chesley, Carroll and Webb with an image that encapsulates the greatest strengths of this market leading text.

Garrison is your guide through the challenging waters of managerial accounting. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it.

Managerial Accounting8ce focuses, now as in the past, on three qualities: Relevance, Balance and Clarity. The authors' steady focus on these core elements has led to tremendous results! As seafarers look to the lighthouse for direction along unfamiliar shore, so too can Garrison act as a compass for students seeking to master this course."
"Managerial Accounting","3rd Edition","9780077826482","77826485","Robert Libby, Stacey Whitecotton, Fred Phillips","Whitecotton, Managerial Accounting 3e and Connect present an integrated and proven solution designed to help attain course goals of student readiness and motivation, comprehension of content, and application of key concepts. Whitecotton, Managerial Accounting 3e addresses the reality of students taking the managerial accounting course: the majority of them will not become accounting majors and accountants; instead they will use accounting information in their professional lives to make business decisions. Therefore, the greatest challenges instructors have are to engage these students in the managerial accounting course, keep the students motivated throughout the course, and teach them accounting in a way that connects conceptual understanding to the real world, so students will be able to analyze and apply their managerial accounting knowledge successfully in careers as managers in the world of business. Whitecotton 3e will engage and motivate students by presenting accounting in the context of real, recognizable companies like Apple, Starbucks, and California Pizza Kitchen, then integrate those companies throughout the chapters. This will allow students to see accounting information being used to make real business decisions in companies that are part of their lives, helping them connect their learning to the real world."
"Managerial Accounting","2nd Edition","9780078025518","78025516","Stacey Whitecotton, Fred Phillips","Whitecotton, Managerial Accounting 2e and Connect present an integrated and proven solution designed to help attain course goals of student readiness and motivation, comprehension of content, and application of key concepts. Whitecotton, Managerial Accounting 2e addresses the reality of students taking the managerial accounting course: the majority of them will not become accounting majors and accountants; instead they will use accounting information in their professional lives to make business decisions. Therefore, the greatest challenges instructors have are to engage these students in the managerial accounting course, keep the students motivated throughout the course, and teach them accounting in a way that connects conceptual understanding to the real world, so students will be able to analyze and apply their managerial accounting knowledge successfully in careers as managers in the world of business. Whitecotton 2e will engage and motivate students by presenting accounting in the context of real, recognizable companies like Apple, Starbucks, and California Pizza Kitchen, then integrate those companies throughout the chapters. This will allow students to see accounting information being used to make real business decisions in companies that are part of their lives, helping them connect their learning to the real world."
"Managerial Accounting","1st Edition","9780078110771","78110777","Fred Phillips, Robert Libby, Stacey Whitecotton","Whitecotton 1e addresses the reality of students taking the managerial accounting course: the majority of them will not become accounting majors and accountants; instead they will use accounting information in their professional lives to make business decisions. Therefore, the greatest challenges instructors have are to engage these students in the managerial accounting course, keep the students motivated throughout the course, and teach them accounting in a way that connects conceptual understanding to the real world, so students will be able to analyze and apply their managerial accounting knowledge successfully in careers as managers in the world of business. Whitecotton 1e will engage and motivate students by presenting accounting in the context of real, recognizable companies like Starbucks, Mattel, and Tombstone Pizza, then integrate those companies throughout the chapters. This will allow students to see accounting information being used to make real business decisions in companies that are part of their lives, helping them connect their learning to the real world."
"Managerial Accounting","2nd Edition","9781118548639","1118548639","Charles E Davis, Elizabeth Davis","Managerial Accounting, 2nd Edition with WileyPLUS by Charles and Elizabeth Davis offers a modern, practical approach to teaching and learning managerial accounting based on a unique integration of concepts, practice, and business context within distinct and flexible LEARNING UNITS that are designed to meet the needs of today's business majors. New WileyPLUS with ORION provides students with a personal, adaptive learning experience so they can build their proficiency on topics and use their study time most effectively, while assignable Managerial Accounting Videos engage students before, during, or after class. Prepare your students for success in your class and for their future careers with Davis and Davis, Managerial Accounting, 2nd Edition with WileyPLUS. WileyPLUS and WileyPLUS with ORION sold separately from text."
"Managerial Accounting","10th Edition","9780077632519","77632516","Ronald Hilton, David Platt","The emphasis of Managerial Accounting, 10th edition is on teaching students to use accounting information to best manage an organization. In a practice Hilton pioneered in the first edition, each chapter is written around a realistic business or focus company that guides the reader through the topics of that chapter. Known for balanced examples of Service, Retail, Nonprofit and Manufacturing companies, Hilton/Platt offers a clear, engaging writing style that has been praised by instructors and students alike. As in previous editions, there is significant coverage of contemporary topics such as activity-based costing, target costing, the value chain, customer profitability analysis, and throughput costing while also including traditional topics such as job-order costing, budgeting and performance evaluation."
"Managerial Accounting","9th Edition","9780078110917","78110912","Ronald Hilton, Ronald W. Hilton","Course Overview: Management/Managerial Accounting (undergraduate and MBA) The managerial accounting course follows financial accounting in a two-course sequence for first and second year business majors. It is found at both two and four year schools, as well as in MBA programs. The purpose of managerial accounting is to provide managers with information useful in planning and controlling the activities of a business. It deals with internal, rather than external information. Managerial accounting reports include budgets, performance reports, and analysis of economic alternatives such as make-or-buy manufacturing decisions. The market is segmented into traditional, transitional, and innovative text offerings. Hilton falls into the traditional to transitional market segment. Title Overview: The emphasis of Managerial Accounting, 9th edition is on teaching students to use accounting information to best manage an organization. In a practice Hilton pione"
"Managerial Accounting","8th Edition","9780073526928","73526924","Ronald W. Hilton, Ronald Hilton","The emphasis of Managerial Accounting, 8e is on teaching students to use accounting information to best manage an organization. In a practice Hilton pioneered in the first edition, each chapter is written around a realistic business or focus company that guides the reader through the topics of that chapter. Known for balanced examples of Service, Retail, Nonprofit and Manufacturing companies, Hilton offers a clear, engaging writing style that has been praised by instructors and students alike. As in previous editions, there is significant coverage of contemporary topics such as activity-based costing, target costing, the value chain, customer profitability analysis, and throughput costing while also including traditional topics such as job-order costing, budgeting and performance evaluation."
"Managerial Accounting","5th Edition","9780470477144","470477148","Donald E. Kieso, Jerry J. Weygandt, Paul D. Kimmel","Many corporate managers struggle to see the relevance of accounting in their everyday responsibilities. Weygandt shows them how managerial accounting information fits in the larger context of business so they are better able to understand the important concepts. The new Do It! feature reinforces the basics by providing quick-hitting examples of brief exercises. The chapters also incorporate the All About You (AAY) feature as well as the Accounting Across the Organization (AAO) boxes that highlight the impact of accounting concepts. With these features, readers will have numerous opportunities to think about what they have just read and then apply that knowledge to sample problems."
"Managerial Accounting","1st Edition","9780137024872","137024878","Srikant M  Datar, Chris Ittner, Charles T  Horngren, Madhav T Rajan, Madhav V  Rajan","Go beyond managerial accounting theory to the techniques used in management today. Managerial Accounting: Making Decisions and Motivating Performance enables managers and business owners to attain the core skills they need to become integral members of their company's decision-making teams. This new program from established authors Srikant M. Datar and Madhav Rajan emphasizes decision-making and the effects of decisions. While many texts teach the theories and frameworks of management education, Managerial Accounting goes further by covering the capabilities and techniques necessary for effective management practice, as well as fostering attitudes that typify integrity, honesty, and fairness. 
The Manager and Management Accounting; An Introduction to Cost Terms and Purposes; Cost--Volume--Profit Analysis; Job Costing; Process Costing and Cost Allocation; Activity-Based Costing and Activity-Based Management; Pricing Decisions, Customer Profitability, and Cost Management; Determining How Costs Behave; Decision Making and Relevant Information; Quality, Inventory Management, and Time; Capital Investments; Master Budget and Responsibility Accounting; Flexible Budgets, Cost Variances, and Management Control; Strategy, Balanced Scorecard, and Strategic Profitability Analysis; Transfer Pricing; Performance Measurement and Compensation Managers and business owners who want to learn practical techniques for managerial accounting."
"Managerial Accounting","13th Edition","9781285868806","1285868803","Jonathan Duchac, James M  Reeve, Carl S  Warren","Close the gap between homework and exam performance with Warren/Reeve/Duchac's MANAGERIAL ACCOUNTING
   13E and CengageNOWv2! Market-leading MANAGERIAL ACCOUNTING has been on the forefront of innovation and change based on the needs of today's teaching and learning environment. Warren/Reeve/Duchac's MANAGERIAL ACCOUNTING 13E, now available as a bundle option with CengageNOWv2, helps elevate student thinking with content that addresses each stage of the learning process from motivation to mastery. This integrated system motivates students to learn, provides practice opportunities to better prepare for exams, and helps students achieve mastery with tools to help them make connections and see the big picture."
"Managerial Accounting","13th Edition","9780071087087","71087087","Ray H Garrison","Managerial Account (International Edition)

Like new"
"Managerial Accounting","11th Edition","9780072834949","72834943","Eric W. Noreen, Eric Noreen, Ray Garrison, Peter C. Brewer, Ray H  Garrison","As the long-time best-seller, Garrison has helped guide close to 2 million students through the challenging waters of managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations-plan operations, control activities, and make decisions-and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. To achieve this, Managerial Accounting, 11/E, focuses, now as in the past, on three qualities:Relevance: Every effort is made to help students relate the concepts in this book to the decisions made by working managers. With insightful chapter openers, the popular Managerial Accounting in Action segments within the chapters, and stimulating end-of-chapter exercises, a student reading Garrison should never have to ask ""Why am I learning this?""Balance: There's more than one type of business, and so Garrison covers a variety of business models, including not-for-profit, retail, service, and wholesale organizations as well as manufacturing. In the eleventh edition, service company examples are highlighted with icons in the margins of the text.Clarity: Generations of students have praised Garrison for the friendliness and readability of its writing, but that's just the beginning. 

Technical discussions have been simplified, material has been reordered, and the entire book carefully retuned to make teaching-and learning-from Garrison as easy as it can be. In addition, the supplements package is written by Garrison, Noreen, and Brewer, ensuring that students and professors will work with clear, well-written supplements that employ consistent terminology."
"Managerial Accounting","5th Edition","9781118078761","1118078764","James Jiambalvo","Recognizing that most students will pursue careers as managers not accountants, Managerial Accounting, 5th edition by James Jiambalvo is designed to teach the fundamental ideas of managerial accounting while making direct connections between managerial accounting, techniques in the business world, and students? future careers.   Students and instructors alike have praised this text?s clear and concise writing style, to-the-point discussions, real world cases, managers? insights, illustrated ideas, and examples.

Managerial Accounting, 5th edition highlights decision making through incremental analysis and stresses that you ?Get What You Measure? in each chapter. This new edition provides students with many opportunities to test their knowledge as they learn the concepts throughout each chapter.  

Students learn to apply their knowledge to solving problems like real managers in the text and in WileyPLUS."
"Managerial Accounting","3rd Edition","9780078110849","007811084X","John Wild, John J. Wild, Ken Shaw, Ken W. Shaw","Wild's Managerial Accounting presents the managerial accounting course content using a corporate approach. In features the same student-friendly writing style and learning tools that have enjoyed consistent success with students and instructors using other texts in the Wild series. Also consistent with this series is Managerial Accounting's focus on the ""Three C's"": *Clear presentation of accounting concepts, *Concise coverage to help students focus on important material, *Cutting edge technology to engage students and improve their chances for success. The author provides a balance of small and large business examples, integration of new computerized learning tools, superior end-of-chapter materials, and highly engaging pedagogical learning structures. Technology tools such as Connect Accounting provide students with further advantages as they learn as well as apply key accounting concepts and methods."
"Managerial Accounting","7th Edition","9780070951686","70951683","Peter C Brewer, Ray H. Garrison, Raymond F Carroll, Eric Noreen","Managerial Accountingby Garrison, Noreen, Brewer, Chesley and Carroll is your guide through the challenging waters of managerial accounting. This seventh Canadian edition identifies the three functions managers must perform within their organizations-plan operations, control activities, make decisions-and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. To achieve this,Managerial Accounting7ce focuses, now as in the past, on three qualities: Relevance, Balance and Clarity. The authors' steady focus on these core elements has led to tremendous results! As seafarers look to the lighthouse for direction along unfamiliar shore, so too can Garrison act as a crucial compass for students seeking to master this challenging course area."
"Managerial Accounting","11th Edition","9781111571269","1111571260","Michael W. Maher","This classic MBA text balances managerial accounting coverage with a strong emphasis on management decision-making. Core managerial accounting concepts are combined with the latest cutting-edge material important to today's managers and decision makers. International issues within today's globalized business environment, the strategic effects of decisions, a focus on ethics that reflects this area of increasing scrutiny, and emphasis on new management accounting trends are highlighted. Numerous realistic examples and application problems emphasize process improvement and the integration of financial reporting issues for management decision-making. Managerial accounting tools help users understand the emerging service sector, government, and nonprofit organizations for ongoing business success."
"Managerial Accounting","8th Edition","9780071285513","71285512","Ronald W Hilton","The emphasis of ""Managerial Accounting, 8e"" is on teaching students to use accounting information to best manage an organization. In a practice Hilton pioneered in the first edition, each chapter is written around a realistic business or focus company that guides the reader through the topics of that chapter. Known for balanced examples of service, retail, nonprofit and manufacturing companies, Hilton offers a clear, engaging writing style that has been praised by instructors and students alike. As in previous editions, there is significant coverage of contemporary topics such as activity-based costing, target costing, the value chain, customer profitability analysis, and throughput costing while also including traditional topics such as job-order costing, budgeting and performance evaluation."
"Managerial Accounting","5th Edition","9781259296246","1259296245","John Wild",
"Managerial Accounting","4th Edition","9780077633295","77633296","John J Wild, Ken Shaw",
"Managerial Accounting","15th Edition","9780077522957","77522958","Ray H  Garrison","As the long-time #1 best-seller Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organisations &#45 plan operations control activities and make decisions &#45 and explains what accounting information is necessary for these functions how to collect it and how to interpret it. Garrison&#39s Managerial Accounting is known for its relevance accuracy and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual test bank instructor&#39s manual and study guide making them both of high quality and extremely consistent with the textbook."
"Managerial Accounting","13th Edition","9780073379616","73379611","Ray H Garrison, Peter C. Brewer, Eric W. Noreen","As the long-time best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations-plan operations, control activities, and make decisions-and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison's Managerial Accounting, is known for its accuracy and rigor. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor's manual, and study guide."
"Managerial Accounting","12th Edition","9780073526706","73526703","Peter C. Brewer, Eric W. Noreen","As the long-time best-seller, Garrison has helped guide close to 2 million students through the challenging waters of managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. To achieve this, Managerial Accounting, 12/E, focuses, now as in the past, on three qualities:

Relevance. Every effort is made to help students relate the concepts in this book to the decisions made by working managers. With insightful chapter openers, the popular Managerial Accounting in Action segments within the chapters, and stimulating end-of-chapter exercises, a student reading Garrison should never have to ask ?Why am I learning this??

Balance. There?s more than one type of business, and so Garrison covers a variety of business models, including not-for-profit, retail, service, and wholesale organizations as well as manufacturing. In the twelfth edition, service company examples are highlighted with icons in the margins of the text.

Clarity. Generations of students have praised Garrison for the friendliness and readability of its writing, but that?s just the beginning. Technical discussions have been simplified, material has been reordered, and the entire book carefully retuned to make teaching?and learning?from Garrison as easy as it can be. In addition, the supplements package is written by Garrison, Noreen, and Brewer, ensuring that students and professors will work with clear, well-written supplements that employ consistent terminology."
"Managerial Accounting","7th Edition","9781618530967","1618530968","Wayne Morse, Al Hartgraves","The seventh edition of Managerial Accounting presents managerial accounting in the context of a big-picture, decision oriented, business setting. It integrates traditional coverage with contemporary topics, and does so with an eye toward the general business student because a book is not useful if it is not read. An overriding aim of the book is to engage students to read further and understand the materials presented."
"Managerial Accounting (Canadian Ed)","0th Edition","9780070968240","70968241","Ronald W Hilton, Michael Favere-Marchesi","Practically new. Hardly ever used. Great condition. Expedited shipping available."
"Managerial Accounting 2010 Edition","2nd Edition","9780073379586","73379581","Ken W Shaw, Ken Shaw, Ken W. Shaw, John Wild, John J. Wild, John J Wild","Wild?s Managerial Accounting presents the managerial accounting course content using a corporate approach. It features the same student-friendly writing style and learning tools that have enjoyed consistent success with students and instructors using other texts in the Wild series. Also consistent with this series is Managerial Accounting?s focus on the ?Three C?s?: ? Clear presentation of accounting concepts, ? Concise coverage to help students focus on important material, and ? Cutting edge technology to engage students and improve their chances for success. The author provides a balance of small and large business examples, integration of new computerized learning tools, superior end-of-chapter materials, and highly engaging pedagogical learning structures. Technology tools such as Connect Accounting provide students with further advantages as they learn and apply key accounting concepts and methods."
"Managerial Accounting for Managers","3rd Edition","9780078025426","78025427","Ray Garrison, Eric Noreen, Peter Brewer","Managerial Accounting for Managers, 3rd edition by Noreen/Brewer/Garrison is based on the market-leading managerial accounting solution, Managerial Accounting, by Garrison, Noreen and Brewer. The Noreen solution presents integrated and proven solutions designed to help attain course goals of student readiness, comprehension of content, and application of key concepts in the managerial accounting course, while addressing the needs of instructors who do not wish to teach the financial accounting-oriented content that is included in the Garrison solution. Of the three programs in the Garrison franchise (the Brewer solution, the Garrison solution, and the Noreen solution), the Noreen solution is the most pure management accounting content. The other two programs contain greater coverage of financial accounting topics."
"Managerial Accounting for Managers","2nd Edition","9780073527130","73527130","Eric Noreen, Ray Garrison, Peter Brewer, Ray H  Garrison, Peter C. Brewer","Managerial Accounting for Managers, 2nd Edition by Noreen/Brewer/Garrison is based on the market-leading text, Managerial Accounting, by Garrison, Noreen and Brewer. The Noreen book was created to serve customers who do not wish to teach the financial accounting-oriented content that is included in the Garrison book. Of our three books (the Brewer book, the Garrison book, and the Noreen book), the Noreen book is the most pure management accounting textbook. The other two books have greater amounts of financial accounting content. Managerial Accounting for Managers, 2nd Edition is geared towards professors who love Garrison?s market-leading managerial accounting content, but have been bothered by the debits and credits included in the book. It includes the same coverage of managerial accounting topics such as Relevant Costs for Decision Making, Capital Budgeting Decisions, and Segment Reporting and Decentralization. The job-order costing chapter has been extensively rewritten to remove all journal entries. Furthermore, the chapters dealing with process costing, the statement of cash flows, and financial statement analysis have been dropped to enable professors to focus their attention on the bedrocks of managerial accounting?planning, control, and decision making."
"Managerial Accounting for Managers","1st Edition","9780073526973","73526975","Eric W Noreen, Eric Noreen, Peter Brewer, Peter C Brewer, Ray H Garrison, Ray Garrison","Based on the text, Managerial Accounting, this book includes the coverage of managerial accounting topics such as Relevant Costs for Decision Making, Capital Budgeting Decisions, and Segment Reporting and Decentralization. It also contains chapters dealing with process costing, the statement of cash flows, and financial statement analysis."
"Managerial Accounting with Connect Plus","15th Edition","9781259279478","1259279472","Peter Brewer, Eric Noreen, Ray H  Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations--plan operations, control activities, and make decisions--and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison's Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor's manual, and study guide - making them both of high quality and extremely consistent with the textbook."
"Managerial Accounting, Binder Ready Version","6th Edition","9781119158011","111915801X","James Jiambalvo","Recognizing that most students will pursue careers as managers not accountants, Managerial Accounting, 6th Edition by James Jiambalvo focuses on the fundamental topics of managerial accounting, and helps student make direction connections between techniques in the business world, and readers? future careers using real cases and real managers? comments on real company issues.  Managerial Accounting, 6th Edition helps students develop decision making through incremental analysis and stresses the fact that you Get What You Measure throughout the program. It is designed for a one semester managerial accounting course at both the undergraduate and MBA level.To keep the book streamlined, Chapter 13 Statement of Cashflow and Chapter 14 Analyzing Financial Statements have been made available online only on the Student Companion Site."
"McGraw-Hill's Taxation of Individuals, 2014 Edition","5th Edition","9780077631741","77631749","John Robinson, Edmund Outslay, Connie Weaver, Benjamin Ayers, Brian Spilker, Ronald Worsham, John Barrick","McGraw-Hill's Taxation Series continues to provide a unique, innovative, and engaging learning experience for students studying taxation. The breadth of the topical coverage, the storyline approach to presenting the material, the emphasis on the tax and nontax consequences of multiple parties involved in transactions, and the integration of financial and tax accounting topics make this book ideal for the modern tax curriculum. With over 275 schools adopting the 4th edition, McGraw-Hill's Taxation of Individuals and Business Entities resonates with instructors who were in need of a bold and innovative approach to teaching tax. 350 professors have contributed 370 book reviews, in addition to 20 focus groups and symposia. These instructors were impressed on the book's organization, pedagogy, and unique features that are a testament to the grassroots nature of this book's development."
"McGraw-Hill's Taxation of Individuals, 2015 Edition","6th Edition","9781259197727","1259197727","Brian Spilker","McGraw-Hill?s Taxation Series continues to provide a unique, innovative, and engaging learning experience for students studying taxation. The breadth of the topical coverage, the storyline approach to presenting the material, the emphasis on the tax and nontax consequences of multiple parties involved in transactions, and the integration of financial and tax accounting topics make this book ideal for the modern tax curriculum.With over 300 schools adopting the series to date, McGraw-Hill?s Taxation of Individuals and Business Entities resonates with instructors who were in need of a bold and innovative approach to teaching tax. 380 professors have contributed 390 book reviews, in addition to 23 focus groups and symposia. These instructors were impressed on the book?s organization, pedagogy, and unique features that are a testament to the grassroots nature of this book?s development."
"McGraw-Hill's Taxation of Individuals, 2016 Edition","7th Edition","9781259424793","1259424790","Brian Spilker","McGraw-Hill?s Taxation of Individuals is organized to emphasize topics that are most important to undergraduates taking their first tax course. The first three chapters provide an introduction to taxation and then carefully guide students through tax research and tax planning. Part II discusses the fundamental elements of individual income tax, starting with the tax formula in Chapter 4 and then proceeding to more depth on individual topics in Chapters 5?7. Part III then discusses tax issues associated with business and investment activities. On the business side, it addresses business income and deductions, accounting methods, and tax consequences associated with purchasing assets and property dispositions (sales, trades, or other dispositions). For investments it covers portfoliotype investments such as stocks and bonds and business investments including loss limitations associated with these investments. Part IV is unique among tax textbooks; this section combines related tax issues for compensation, retirement savings, and home ownership."
"McGraw-Hill's Taxation of Individuals and Business Entities, 2015 Edition","6th Edition","9780077862367","77862368","Connie Weaver, Brian Spilker, John Robinson, Edmund Outslay, Benjamin Ayers, Ronald Worsham, John Barrick","McGraw-Hill's Taxation Series continues to provide a unique, innovative, and engaging learning experience for students studying taxation. The breadth of the topical coverage, thestoryline approach to presenting the material, the emphasis on the tax and nontax consequences of multiple parties involved in transactions, and the integration of financial and tax accounting topics make this book ideal for the modern tax curriculum."
"McGraw-Hill's Taxation of Individuals and Business Entities, 2016 Edition","7th Edition","9781259415494","125941549X","Brian Spilker","McGraw-HillÃ¢â‚¬â„¢s Taxation is designed to provide a unique, innovative, and engaging learning experience for students studying taxation. The breadth of the topical coverage, the storyline approach to presenting the material, the emphasis on the tax and nontax consequences of multiple parties involved in transactions, and the integration of financial and tax accounting topics make this book ideal for the modern tax curriculum."
"McGraw-Hill's Taxation of Individuals and Business Entities 2014 Edition","5th Edition","9780077862350","007786235X","Brian Spilker, Ronald Worsham, Edmund Outslay, Connie Weaver, John Robinson, Benjamin Ayers, John Barrick","McGraw-Hill's Taxation Series continues to provide a unique, innovative, and engaging learning experience for students studying taxation. The breadth of the topical coverage, the storyline approach to presenting the material, the emphasis on the tax and nontax consequences of multiple parties involved in transactions, and the integration of financial and tax accounting topics make this book ideal for the modern tax curriculum.

With over 275 schools adopting the 4th edition, McGraw-Hill's Taxation of Individuals and Business Entities resonates with instructors who were in need of a bold and innovative approach to teaching tax. 350 professors have contributed 370 book reviews, in addition to 20 focus groups and symposia. These instructors were impressed on the book's organization, pedagogy, and unique features that are a testament to the grassroots nature of this book's development."
